"freq","sex","unit","geo","Y2013","Y2022","annual_growth"
"A","M","PC_EMP","LV",2.7,3,1.01059175120329
"A","M","PC_EMP","ME",4.1,NA,NA
"A","M","PC_EMP","MK",2.8,NA,NA
"A","M","PC_EMP","MT",4.4,4.7,1.00661759695023
"A","M","PC_EMP","NL",5,5.5,1.00957658277689
"A","M","PC_EMP","NO",4.3,4.1,0.995248519270923
"A","M","PC_EMP","PL",2.9,2.8,0.996497017826904
"A","M","PC_EMP","PT",3.1,4.2,1.03083405982722
"A","M","PC_EMP","RO",1.2,1.4,1.01553449300235
"A","M","PC_EMP","RS",3.4,3.3,0.997019155251226
"A","M","PC_EMP","SE",4.8,4.5,0.993566929259126
"A","M","PC_EMP","SI",4.8,4,0.981933044561913
"A","M","PC_EMP","SK",2.1,2.8,1.02918600896476
"A","M","PC_EMP","TR",1.7,NA,NA
"A","M","PC_EMP","UK",5,NA,NA
"A","M","THS_PER","AT",94.1,87.1,0.992299684238931
"A","M","THS_PER","BE",97.1,108.9,1.01153488505019
"A","M","THS_PER","BG",34.8,36.4,1.00450525707794
"A","M","THS_PER","CH",125.2,108.6,0.9858765795183
"A","M","THS_PER","CY",6.5,7.5,1.01441296377323
"A","M","THS_PER","CZ",98.5,99.1,1.00060747375328
"A","M","THS_PER","DE",890.5,880.5,0.998871319959659
"A","M","THS_PER","DK",61.4,65.5,1.00648496768359
"A","M","THS_PER","EE",14.6,13.3,0.99071760059025
"A","M","THS_PER","EL",72.1,65.5,0.990445546459984
"A","M","THS_PER","ES",330.7,401.2,1.01951277704296
"A","M","THS_PER","EU27_2020",3664.5,3928.2,1.00697314044027
"A","M","THS_PER","FI",55.8,54.5,0.997645459517415
"A","M","THS_PER","FR",497.6,582.1,1.01580821978555
"A","M","THS_PER","HR",28.9,26.3,0.990617031764544
"A","M","THS_PER","HU",78.1,75.9,0.997146741058372
"A","M","THS_PER","IE",37.5,45.2,1.018851095388
"A","M","THS_PER","IS",5.4,5.7,1.00542136482688
"A","M","THS_PER","IT",457.6,443.1,0.996785182441826
"A","M","THS_PER","LT",18.4,21.4,1.0152186679974
"A","M","THS_PER","LU",6.3,6.5,1.00313014304927
"A","M","THS_PER","LV",11.9,13,1.00888029365366
"A","M","THS_PER","ME",4.5,NA,NA
"A","M","THS_PER","MK",11.6,NA,NA
"A","M","THS_PER","MT",5,7.6,1.04275998895771
"A","M","THS_PER","NL",221,278.9,1.02354189597984
"A","M","THS_PER","NO",59.6,61.5,1.00314308925328
"A","M","THS_PER","PL",248.6,256.7,1.00321143652866
"A","M","THS_PER","PT",71.3,102.9,1.0373673728378
"A","M","THS_PER","RO",57,61.6,1.00779125536352
"A","M","THS_PER","RS",45,53.8,1.01802156107274
"A","M","THS_PER","SE",118.3,126.8,1.00696285584408
"A","M","THS_PER","SI",23.7,21.7,0.991222470667252
"A","M","THS_PER","SK",27.2,38.9,1.03642545225112
"A","M","THS_PER","TR",302.3,NA,NA
"A","M","THS_PER","UK",790.7,NA,NA
"A","T","PC_EMP","AT",4.2,4,0.995132866649907
"A","T","PC_EMP","BE",3.7,4.2,1.01275584101525
"A","T","PC_EMP","BG",2.7,2.7,1
"A","T","PC_EMP","CH",5.3,4.6,0.985934800611528
"A","T","PC_EMP","CY",3.3,4,1.01942341623449
"A","T","PC_EMP","CZ",3.9,3.8,0.997405822069984
"A","T","PC_EMP","DE",4.2,4,0.995132866649907
"A","T","PC_EMP","DK",4.7,4.5,0.995660929890983
"A","T","PC_EMP","EE",5.6,4.5,0.978368471091237
"A","T","PC_EMP","EL",3.6,3.5,0.997186876571438
"A","T","PC_EMP","ES",3.3,3.6,1.0087391026304
"A","T","PC_EMP","EU27_2020",3.6,3.8,1.00542136482688
"A","T","PC_EMP","FI",4.8,4.6,0.995753082327491
"A","T","PC_EMP","FR",3.5,4,1.01344269057967
"A","T","PC_EMP","HR",3.4,3.1,0.990805201073427
"A","T","PC_EMP","HU",3.9,3.5,0.989236981805523
"A","T","PC_EMP","IE",3.7,3.3,0.988624164636727
"A","T","PC_EMP","IS",5.9,5.6,0.99479501779128
"A","T","PC_EMP","IT",3.5,3.5,1
"A","T","PC_EMP","LT",3.8,4.1,1.00762753324918
"A","T","PC_EMP","LU",5.2,4.8,0.992027678108592
"A","T","PC_EMP","LV",4,4,1
"A","T","PC_EMP","ME",4.6,NA,NA
"A","T","PC_EMP","MK",3.4,NA,NA
"A","T","PC_EMP","MT",4.2,4.4,1.00466283892138
"A","T","PC_EMP","NL",4.7,5.4,1.01398046985494
"A","T","PC_EMP","NO",4.4,4.3,0.997703688743372
"A","T","PC_EMP","PL",3.2,3.4,1.00608087609791
"A","T","PC_EMP","PT",2.9,4,1.03268103021622
"A","T","PC_EMP","RO",1.4,1.5,1.00692314205935
"A","T","PC_EMP","RS",3.6,3.5,0.997186876571438
"A","T","PC_EMP","SE",4.8,4.9,1.00206405595712
"A","T","PC_EMP","SI",5,4.6,0.991696505152373
"A","T","PC_EMP","SK",2.2,2.9,1.02801045546065
"A","T","PC_EMP","TR",2.2,NA,NA
"A","T","PC_EMP","UK",4.5,NA,NA
"A","T","THS_PER","AT",173.9,175.7,1.00103028776545
"A","T","THS_PER","BE",169.4,210,1.02171692790564
"A","T","THS_PER","BG",78.7,84.3,1.00689755023442
"A","T","THS_PER","CH",233.8,217.5,0.992799330099309
"A","T","THS_PER","CY",12.1,18.1,1.04109250626032
"A","T","THS_PER","CZ",191.4,194.3,1.00150491899222
"A","T","THS_PER","DE",1659.5,1714.5,1.00326583533208
"A","T","THS_PER","DK",124.2,135,1.00837302017753
"A","T","THS_PER","EE",34.7,30.5,0.987181564702842
"A","T","THS_PER","EL",125,144.7,1.01474250396456
"A","T","THS_PER","ES",561.9,733,1.02693863799828
"A","T","THS_PER","EU27_2020",6758.7,7732.6,1.01355247278233
"A","T","THS_PER","FI",118.9,122.6,1.00306912212142
"A","T","THS_PER","FR",894.9,1142.1,1.0246910957679
"A","T","THS_PER","HR",52.3,52.4,1.00019104027148
"A","T","THS_PER","HU",151.2,163.5,1.00785161619667
"A","T","THS_PER","IE",72.5,83.3,1.0139830598136
"A","T","THS_PER","IS",10.2,11.8,1.0146778582854
"A","T","THS_PER","IT",787.4,814.9,1.00343880194089
"A","T","THS_PER","LT",49.1,57.6,1.01609449659421
"A","T","THS_PER","LU",12.4,15,1.01921770061372
"A","T","THS_PER","LV",35.5,35.4,0.999717952148812
"A","T","THS_PER","ME",9.3,NA,NA
"A","T","THS_PER","MK",23,NA,NA
"A","T","THS_PER","MT",7.7,12.5,1.04964376118934
"A","T","THS_PER","NL",385.5,520.8,1.03053953943669
"A","T","THS_PER","NO",113.9,123.4,1.00804319821387
"A","T","THS_PER","PL",492.6,576.9,1.01592258009365
"A","T","THS_PER","PT",129.7,197.8,1.04310645064092
"A","T","THS_PER","RO",116.3,117.3,1.00085653623131
"A","T","THS_PER","RS",82.2,102.2,1.02201650112981
"A","T","THS_PER","SE",224.8,259.5,1.01445807987456
"A","T","THS_PER","SI",44.9,44.9,1
"A","T","THS_PER","SK",52.3,75.9,1.03794420545936
"A","T","THS_PER","TR",567.6,NA,NA
"A","T","THS_PER","UK",1353.8,NA,NA
